NAME	DESCRIPTION	SNU_KO1	SNU_KO2	NCI_BAP1_-1	NCI_BAP1_0	SNU_Original_cell_line
A1BG-AS1		3.3627461530183946e-06	0.0	5.377389318850245e-05	0.0001306335728282172	5.232369530865734e-06
A2M		9.079414613149669e-05	5.5752547891438786e-05	9.100197308823509e-05	0.00016873503156978077	3.1394217185194536e-05
A4GALT		0.0002555687076293982	0.00013380611493945285	0.0002316413860427799	0.0003973437840191601	0.000664510930419953
AAAS		0.0022093242225330826	0.005647733101402746	0.0025770104197259235	0.0033964728935336453	0.0022002113877290495
AACS		0.0016544711072850513	0.0023193059922838534	0.001997906954618976	0.00229153059002831	0.0013944264799757213
AADAC		6.052943075433113e-05	0.00045159563792065435	0.0002316413860427799	0.00017962116263879862	2.354566288889591e-05
AADACP1		0.0003497255999139131	0.00037911732566178394	0.0001530487729211223	0.00027215327672545225	3.662658671606027e-05
AADAT		0.0001076078768965886	0.00015053187930688447	2.8955173255347463e-05	4.3544524276072366e-05	6.540461913582178e-05
AAGAB		0.0032215108145916215	0.004120113289177329	0.006721736648562806	0.00697256694970609	0.0023702633974821852
AAK1		0.0021387065533196993	0.0030998416627639946	0.0022667764205614874	0.0024602656215980904	0.0009836854718027626
AAMDC		0.00024211772301732453	0.00029548850382462595	0.0002978246391978596	0.0003429131286740701	0.0003453363890371396
AAMP		0.009479581405358865	0.012148480185544545	0.00484378684028741	0.0060309166122360265	0.005371027323433717
AANAT		3.3627461530183946e-06	5.5752547891438786e-05	1.2409359966577492e-05	2.721532767254522e-05	2.354566288889591e-05
AAR2		0.001866324114925208	0.004549407907941401	0.0020434079411630946	0.0032821685173089576	0.0013028600131855725
AARD		0.0	0.0	3.722807989973242e-05	6.53167864141086e-05	0.0
AARS1		0.02169980092542768	0.05217323431680844	0.022212754340173693	0.019502503810145906	0.011333312403855232
AARS2		0.0007498923921231026	0.0018732856091523437	0.0013278015164237924	0.0015349444807315476	0.0006409652675310556
AARSD1		9.415689228451496e-05	6.132780268058265e-05	5.377389318850245e-05	6.53167864141086e-05	7.586935819755334e-05
AASDH		0.0006523727536855671	0.0010537231551481922	0.00030196109252005206	0.0005443065534509045	0.00047876181207421475
AASDHPPT		0.0025825890455181276	0.003406480676166912	0.0028376069790240527	0.004229261920313531	0.0018391778900993128
AASS		0.00020849026148714013	0.0002230101915657548	0.00043432759883021196	0.00045721750489876017	0.0005310855073828724
AATBC		2.017647691811036e-05	0.0	1.2409359966577492e-05	1.632919660352715e-05	2.0929478123463024e-05
AATF		0.007246717959754656	0.01896701679266746	0.010159129359304747	0.012388417156542611	0.003335635575926918
